;Auction;Auction_Close;Auction_No;By;Color;Condition;Date;Date_High;Date_Low;Estimate;Estimate_High;Estimate_Low;Image;Lot;Publication;Size;Size_Cm;Size_Cm_H;Size_Cm_W;Size_Inches;Sold_For;Subject;Text;Title
86;163 -  6/14/2017;6/14/2017;163; Carl Flemming; hand color; B+  ; 1853      ;;1853;$400.00 - $500.00;500.00;400.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-087A.jpg;87; ; 28.1 x 20.8 inches 71.4 x 52.9 cm ;71.4x52.9;52.9;71.4;28.1x20.8;-10000; United States;"

This large, detailed map of the United States extends to include part of Canada and Mexico, although information is focused on the United States.  The map provided an excellent view of the American West with five large territories encompassing almost the entire west, shown to be mostly the domain of numerous Indian nations.  
Minosotah
 Territory takes in the Dakotas with Nebraska Territory stretching to the Rocky Mountains.  Indian Territory encompasses present day Oklahoma, Kansas and parts of Nebraska and Colorado.  West of the Rockies are the state of California and the territories of New Mexico, Utah and Oregon, which encompasses present-day Oregon, Idaho and eastern Washington, with western Washington separately delineated.  The border with Mexico is shown along the Gila River, pre Gadsden Purchase.  The map depicts towns, missions, forts, railroads, and canals, and includes a list of the highest mountain peaks.  A table lists the states and territories, with populations in 1850, number of counties, and size.  Lithography by Handtke.  The map was printed on 4 separate sheets, which are here dissected into 24 sections and backed with linen.  Folds into a brown cloth clam shell case with a printed paper title label.

A bright example with original color, minor color offsetting in the Atlantic, and scattered foxing primarily confined to the blank margins.  Several light damp stains just enter the border a bit at top.  New clam shell case is pristine.






";"Lot #87: ""Vereinigte Staaten von Nordamerika"" Carl Flemming
"
87;163 -  6/14/2017;6/14/2017;163; David H. Burr; hand color; A   ; 1854      ;;1854;$275.00 - $350.00;350.00;275.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-088A.jpg;88; ; 49 x 31.4 inches 124.5 x 79.8 cm ;124.5x79.8;79.8;124.5;49x31.4; 200.00; United States;"

This huge map was issued just after the Gadsden Purchase and prior to the monumental undertaking of the Pacific Railroad Survey.  It shows the United States with large western territories.  New Mexico and Utah extend to California, while the continental divide marks the borders for Kansas, Nebraska, Washington and Oregon.  Minnesota extends to the Missouri River, and Indian Territory is defined but not named.  Red overprinted lines indicate the customs collection district boundaries and yellow ones distinguish the states and territories.  Lithographed by Ackerman in New York, printed on two joined sheets of fine banknote paper, as issued.


The map was drawn by David H. Burr, a tremendously important figure in the mapping of the United States.  He began his career surveying in New York in 1829.  He then went on to serve as topographer of the United States Post Office, Geographer for the House of Representatives, surveyor to the states of Florida and Louisiana, Geographer to the U.S. Senate and finally as Surveyor General of Utah Territory during the legal and jurisdictional disputes between Mormon leaders and the U.S. government.  On this map he is credited as 
Draftsman U.S. Senate
.

Issued folding, now flattened and backed with tissue.  The top right margin is narrow, bud adequate for framing.






";"Lot #88: ""Map of the United States Exhibiting the Several Collection Districts"" David H. Burr
"
88;163 -  6/14/2017;6/14/2017;163; Cowperthwait, Desilver & Butler; hand color; B+  ; 1854      ;;1854;$400.00 - $500.00;500.00;400.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-089A.jpg;89; A New Universal Atlas...; 26.5 x 15.9 inches 67.4 x 40.4 cm ;67.4x40.4;40.4;67.4;26.5x15.9; 300.00; United States;"

This outstanding map of the United States illustrates early western territorial development with only seven large territories covering the region now making up sixteen states.  Indian Territory extends through Oklahoma, Kansas, and parts of Nebraska, Colorado and Wyoming.  To the north of Indian Territory are Minnesota Territory and 
Missouri or Northwest Territory
.  Washington and Oregon are separate territories, both extending east to the Rocky Mountains at the Continental Divide.  Utah Territory encompasses Nevada, and New Mexico Territory encompasses Arizona and parts of Colorado and southern tip of Nevada.  A large area in the southern portion of today's Nevada is 
Unexplored Region
.  The map is filled with forts, Indian tribes, emigrant roads, early railways, mines, battlefields, salt ponds and a host of other interesting details.  Several exploration routes are shown, including those of Fremont, Marcy, and Kearney.  Fremont Basin in Utah Territory is bounded by great dividing ridges separating 
the waters of the Pacific Ocean and the waters of the Great Basin
.  In the lower corners of the map are insets of the Gold Region of California and the District of Columbia.


The United States map (one of only three double-page maps in this atlas issue) is attributed to Cowperthwait, Desilver & Butler in the title and is undated, but the copyright is 1850 by Thomas, Cowperthwait & Co.  This is the first mention in the 
Universal Atlas
 series of Cowperthwait, Desilver & Butler as a publishing entity; it would be later in 1854 when the title credit for the atlas would reflect this change.  This edition bears no page number, unlike the later edition which has a single ""5"" page number in the upper right corner.  This edition includes numerous proposed railroads with an expanded note on railroads adjacent to the legend, as well as a preliminary depiction of the Gadsden Purchase territory, which is shown between New Mexico and 
Graham's Line
.  There is also additional detail in the northwest, including a ""Volanic Region"" in Missouri Territory.

Original color with a few small stains and light toning along the edges of the sheet.


Ref:
 Wheat (TMW) #685.






";"Lot #89: ""A New Map of the United States of America by J.H. Young"" Cowperthwait, Desilver & Butler
"
89;163 -  6/14/2017;6/14/2017;163; ; uncolored; B+  ; 1855      ;;1855;$300.00 - $400.00;400.00;300.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-090A.jpg;90; ; 4.4 x 6.9 inches 11.2 x 17.6 cm ;11.2x17.6;17.6;11.2;4.4x6.9;-10000; United States;"

This tourist guide was created to encourage French travel and emigration to the United States.  The US is described as a country full of vitality and liberty, with a government that protects its people.  The guide includes a large folding map of the eastern United States and single-page engraved views of Washington, DC, New York, Boston, New Orleans, Baltimore, and Cincinnati.  The map focuses on the railroad lines, showing those both existing and under construction.  Roads, key cities, and state boundaries are also identified.  Along the western edge of the map are the territories of Minnesota, Nebraska, Kansas and Indian Territory.  The ""Guide-Chaix"" travel guide series was created by Napolean Chaix, a French printer who was best known for printing timetables of railroad lines.  357 pp., 40 pp. advertisements, 6 engraved views, and folding map.  Hardbound in red cloth with embossing on covers and gilt stamped title on front cover and spine.

The map has a 1"" binding tear at left and very light toning along the edges of the sheet and a couple of folds.  The views are clean and bright with an occasional spot of foxing.  The text has occasional scattered foxing.  The front cover is nearly detached, and the covers and spine are lightly worn and stained.






";"Lot #90: ""Guide-Chaix - Bibliotheque du Voyageur - Nouveau Guide du Voyageur et du Touriste aux Etats-Unis avec Gravures et Carte des Chemins de Fer Americains"" 
"
90;163 -  6/14/2017;6/14/2017;163; Theodor Ettling; hand color; B+  ; 1860      ;;1860;$275.00 - $375.00;375.00;275.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-091A.jpg;91; The Dispatch Atlas; 12 x 16.9 inches 30.5 x 43.0 cm ;30.5x43.0;43.0;30.5;12x16.9;-10000; United States;"

This six-sheet map shows the westward growth of the emerging states and territories just before the 
Civil War
.  The maps cover the region from the eastern seaboard to just past the Rocky Mountains.  The routes of the proposed transcontinental railroad as surveyed by Capt. Gunnison, Lieut. Beckwith and Gov. Stevens are described, and the tracks of Fremont, Whiting, Connelly and others are shown.  The emigrant road is shown with numerous important landmarks along the route noted.  Numerous forts and Indian tribes are located, and there is good detail of roads, towns rivers, and topography throughout.


The Weekly Dispatch Atlas was published in monthly segments for subscribers of the Weekly Dispatch newspaper.  The monthly editions eventually grew to include maps covering most of the known world.  Published in various editions from 1855 through the early 1880s.  Each map has the Dispatch Atlas seal above the title or in the margin.

The sheets have some occasional light spots of foxing and minor soiling.  Please note that the first image is digitally merged to show all 6 sheets together - the sheets are still separate.






";"Lot #91: ""[On 6 Sheets] United States of North America (Eastern & Central)"" Theodor Ettling
"
91;163 -  6/14/2017;6/14/2017;163; Johnson and Ward; hand color; B+  ; 1861      ;;1861;$200.00 - $230.00;230.00;200.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-092A.jpg;92; ; 23.9 x 17.5 inches 60.7 x 44.5 cm ;60.7x44.5;44.5;60.7;23.9x17.5; 300.00; United States, Civil War;"

This is the more desirable issue of this 
Civil War
 period map, with the state and territory borders instead of the Military Districts.  The large western territories include Dakota, Idaho (incorporating present-day Montana and Wyoming), and a truncated Nevada with Arizona encompassing the region containing Las Vegas.  Hundreds of military forts are located.  The map has at bottom and right nine inset plans of the major towns and harbors including Hampton Roads, Charleston Harbor, Key West, Baltimore and Washington.  Copyright date 1861, but published circa 1863.

Light toning primarily along the edges of the sheet, minor soiling, and a few small spots.






";"Lot #92: ""Johnson's New Military Map of the United States Showing the Forts, Military Posts &c. with Enlarged Plans of Southern Harbors..."" Johnson and Ward
"
92;163 -  6/14/2017;6/14/2017;163; General Land Office; uncolored; B+  ; 1864      ;;1864;$200.00 - $240.00;240.00;200.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-093A.jpg;93; ; 44.7 x 27.8 inches 113.6 x 70.7 cm ;113.6x70.7;70.7;113.6;44.7x27.8; 125.00; United States;"

This is the first General Land Office map of the United States.  It covers most of the United States except for the Eastern seaboard because the original 13 states and the state of Texas were exempt from coverage by the General Land Office.  The state of the surveys in the remaining states and territories are noted in considerable detail.  Wyoming is still attached to Dakota Territory.  The southern tip of Nevada is still attached to Arizona.  A small portion of Dakota has been surveyed for settlers but little has been done in Arizona, Nevada, Idaho or Montana.

Issued folding with light scattered foxing and light toning along the folds.  There are short fold separations at fold intersections, some extraneous creasing, and a binding trim at left with two associated tears that just enter the map border, both of which have been closed on verso with archival tape.  An embossed stamp by the title reads, ""Western Reserve Cleveland Historical Society 1867-1892.""






";"Lot #93: ""Map of the Public Land States and Territories Constructed from the Public Surveys and Other Official Sources in the General Land Office"" General Land Office
"
93;163 -  6/14/2017;6/14/2017;163; Asher & Adams; hand color; B+  ; 1872      ;;1872;$100.00 - $130.00;130.00;100.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-094A.jpg;94; New Commercial, Topographical, and Statistical Atlas...; 23.5 x 16.1 inches 59.7 x 40.9 cm ;59.7x40.9;40.9;59.7;23.5x16.1; 55.00; United States;"

This double-page atlas map of the United States depicts seven geological groups via hand-coloring including eozoic, paleozoic, carboniferous, mesozoic, ceonozoic, volcanic rocks, and volcanic centers.  It is likely based upon the 1873 map by Charles Hitchcock and William Blake.  In addition to geology, the map shows railroads, rivers and numerous place names.  

Light toning, minor offsetting, and a few spots of foxing.






";"Lot #94: ""Asher & Adams' Geological Map. United States and Territories"" Asher & Adams
"
94;163 -  6/14/2017;6/14/2017;163; Charles Henry Hitchcock; hand color; B+  ; 1882      ;;1882;$160.00 - $190.00;190.00;160.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-095A.jpg;95; ; 24.9 x 15.6 inches 63.3 x 39.7 cm ;63.3x39.7;39.7;63.3;24.9x15.6; 120.00; United States;"

Very striking and graphic engraved map that details the geological composition the United States.  The nine different geological types are shown in different hand color.  Locates Eozoic, Silurian, Devonian and Lower Carboniferous, Coal Measures and Permo-Carboniferous, Triassic and Jurassic, Cretaceous, Tertiary, Alluvium, and Volcanic.  Includes state boundaries, major cities and watershed.  The map is based on Hitchcocks map for the American Institute of Mining and was published by O.W. Gray and Son of Philadelphia.  On verso are zoological and botanical maps of the United States, as well as a series of 5 maps showing the progression of the United States from the Revolutionary War to the 1880s.

A nice example with light toning and a few minor creases at top right, outside of the image.






";"Lot #95: ""Gray's Geological Map of the United States"" Charles Henry Hitchcock
"
95;163 -  6/14/2017;6/14/2017;163; U.S. War Department; printed color; A   ; 1891-95   ;95   ;1891;$120.00 - $150.00;150.00;120.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-096A.jpg;96; Atlas to Accompany the Official Records of the Union and Confederate Armies...; 27.8 x 16.9 inches 70.7 x 43.0 cm ;70.7x43.0;43.0;70.7;27.8x16.9; 90.00; United States;"

This interesting 
Civil War
 sheet comes from the government's comprehensive atlas covering the War Between the States.  This plate was issued between 1891 and 1895 to accompany the Official Army Records and was published under the Secretaries of War Redfield Proctor, Stephen B. Elkins, and Daniel S. Lamont by Maj. Gen. George B. Davis, assisted by civilian experts Leslie Perry and Joseph Kirkley.  The sheet comes from a series of ten maps tracking changes in boundaries, the position of troops, and the status of Confederate states in six month intervals throughout the course of the war.  This is the sheet depicting the nation as it was on December 31, 1861.  Changes from the previous map in the series, dated June 30, 1861, include sectioning off part of Virginia and Maryland as the Union-controlled Potomac, shrinking the Ohio deparment, and splitting the area previously named 
West
 between Missouri and Kansas departments. 

There is light toning along the sheet edges.






";"Lot #96: ""Map of the United States of America, Showing the Boundaries of the Union and Confederate Geographical Divisions and Departments, Dec. 31, 1861"" U.S. War Department
"
96;163 -  6/14/2017;6/14/2017;163; Anonymous; uncolored; B   ; 1720      ;;1720;$800.00 - $1,000.00;1000.00;800.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-097A.jpg;97; ; 9.1 x 10.3 inches 23.2 x 26.2 cm ;23.2x26.2;26.2;23.2;9.1x10.3; 450.00; Colonial Eastern United States;"

This interesting map focuses on the French empire in the heart of North America, embracing both the Great Lakes and the Mississippi Valley.  It illustrates the French threat to the British colonies that are confined along the Atlantic seaboard by the Appalachian Mountains.  French trading posts, lead mines, trails, and Indian villages are carefully noted and the Indian nations are prominently named.  The Missouri River emanates from a great lake in the northwest that disappears off the map and another 
Great River
 flows west from 
Lack Pani
; both alluding to the possibility of a passage to the Pacific. 


This is the rare first edition of this map, which appeared in Dr. James Smith's pamphlet, 
Some Considerations on the French Settling Colonies on the Mississippi
 [1720].  It was later re-engraved for 
The Memoirs and Secret Negotiations of John Ker
 published by Edmund Curll in 1726.

Moderate toning, light soiling, and a few extraneous crease.  Trimmed close to the neatlines and backed in linen.  There are a couple of minor pencil notations and old paper repairs on recto within the map border.


Ref:
 Cumming (SE) #176.






";"Lot #97: ""A New Map of Louisiana and the River Mississipi"" Anonymous
"
97;163 -  6/14/2017;6/14/2017;163; Delisle/Covens & Mortier; hand color; B+  ; 1730      ;;1730;$2,400.00 - $3,000.00;3000.00;2400.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-098A.jpg;98; Atlas Nouveau; 23.6 x 17.4 inches 60.0 x 44.2 cm ;60.0x44.2;44.2;60.0;23.6x17.4; 1000.00; Colonial Eastern United States, Louisiana Territory;"

This is a later edition of Delisle's influential map of the French possession of Louisiana that drew together the cartographic work of the previous half century and had a tremendous impact on the history of cartography.  When originally published in 1718, it was the first detailed map of the Gulf region and the Mississippi, and the first to show the explorations of De Soto, Cavelier, Tonty, Moscoso and Denis.  The map was designed for the political purpose of invalidating the English claims west of the Appalachian Mountains and laid claim to Carolina by the French, which provoked an angry English response.  The name Texas made its first appearance in print on the earlier edition of this map, with the legendary 
Mission de los Teijas
, established in 1716.  The notation of
 Indiens errans et anthrophages
 along the Gulf Coast warns of cannibals.  However, it is the cartography of the Mississippi Valley for which the map is notable today.  An inset of the Mississippi Delta and Mobile Bay fills the lower right corner, titled 
Carte Particuliere des Embouchures de la Riviere S. Louis et de la Mobile
.  This is the Covens & Mortier edition, a re-engraving of the original plate, updated with the addition of New Orleans.

A sharp impression with full original color and light damp stains in the top corners of the map.


Ref:
 Cumming (SE) #208; Tooley (Amer) p.22, #45; cf. Wheat (TMW) #99; cf. Martin & Martin #19.






";"Lot #98: ""Carte de la Louisiane et du Cours du Mississipi Dressee sur un Grand Nombre de Memoires Entr' Autres sur Ceux de Mr. le Maire"" Delisle/Covens & Mortier
"
98;163 -  6/14/2017;6/14/2017;163; Jacques Nicolas Bellin; hand color; B+  ; 1744      ;;1744;$1,100.00 - $1,400.00;1400.00;1100.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-099A.jpg;99; Histoire et Description Generale de la Nouvelle France... ; 22.1 x 15.6 inches 56.2 x 39.7 cm ;56.2x39.7;39.7;56.2;22.1x15.6;-10000; Colonial Eastern United States;"

This interesting map first appeared in the journal of Pierre Francois Xavier Charlevoix, a French Jesuit historian and traveler who traveled throughout the French possessions in North America.  The map covers from the Great Lakes through all but the tip of Florida, and from New Mexico and the Rocky Mountains through the eastern seaboard.  The information in the west includes the road from Mexico City to Santa Fe and the routes of St. Denis and De Soto through Texas.  The 
Riviere du Nord
 (Rio Grande) has its headwaters in the upper left corner, only a few miles from the Missouri River.  There is great detail of Indian villages, trading agencies, forts, mines, villages, and colonial settlements.  Bellin based the map on Guillaume Delisle's landmark map of 1718.   While covering the same area, Bellin's map incorporates much new information from Charlevoix and other French explorers, particularly in the depiction of lakes and rivers and additional place names.  Sometimes overlooked because of its similarity to Delisle's map, this map occupies an important step in the cartographic history of North America.

Issued folding on watermarked paper with faint offsetting.  There is a binding trim at right and an associated short binding tear that has been closed on verso with archival tape.


Ref:
 McCorkle #744.1; MCC-96 #703.






";"Lot #99: ""Carte de la Louisiane Cours du Mississipi et Pais Voisins"" Jacques Nicolas Bellin
"
99;163 -  6/14/2017;6/14/2017;163; Emanuel Bowen; hand color; A   ; 1747      ;;1747;$900.00 - $1,100.00;1100.00;900.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-100A.jpg;100; A Complete System of Geography; 16.6 x 13.6 inches 42.2 x 34.6 cm ;42.2x34.6;34.6;42.2;16.6x13.6; 550.00; Colonial Eastern United States;"

A beautifully detailed map extends west to the Rio Grande and features oversized Great Lakes, with Texas labeled 
Country of the Cenis
, and ""Louisiana"" placed over the entire southern Mississippi River Valley.  Teeming with information, the sheet names missions, Indian villages and tribes and numerous rivers.  Little trees dot nearly the whole map.  A long note gives credit for the geography of the French portion of the map to the French cartographer Jacques Bellin.  A large, decorative cartouche and compass rose ornament the map.

A dark impression on a sheet of watermarked paper.  There are extensive old manuscript notations in the blank margins that describe the region and make the map more interesting.


Ref:
 McCorkle (18th C. Geog. Books) #17-28 (Vol II); Phillips (A) #603-2-58; Lemmon, Magill & Wiese (Char






";"Lot #100: ""A New & Accurate Map of Louisiana, with Part of Florida and Canada, and the Adjacent Countries. Drawn from Surveys, Assisted by the Most Approved English & French Maps & Charts..."" Emanuel Bowen
"
100;163 -  6/14/2017;6/14/2017;163; William Guthrie; hand color; B+  ; 1786      ;;1786;$450.00 - $550.00;550.00;450.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-101A.jpg;101; Guthrie's New System of Geography; 15.5 x 13.9 inches 39.4 x 35.3 cm ;39.4x35.3;35.3;39.4;15.5x13.9; 225.00; Eastern United States;"

This early map depicts the young United States following the Treaty of Paris.  The map shows New York and Pennsylvania both bordering Lake Ontario.  In the far northeast the territory of 
Sagahadok
 is a large region above the barely mentioned 
Main
. Lake Superior is unapologetically filled with fictitious islands.  The region west of the Mississippi River is completely blank with no features, but good detail is provided along its east side including several named Indian villages. It is interesting that the map locates none of the Revolutionary War Bounty Land Grants.  There is good detail east of the Appalachian mountains, but the region between the mountains, the Mississippi River and the Canadian border contain no named regions but it is filled with Indian lands, forts, small towns and villages, and gives good watershed detail.  Curiously, Detroit is not located.  The map just extends to the northern portion of Florida which is divided into east and west regions.  Under the control of Spain, Florida had been ceded by England to the Spanish in gratitude for their neutrality during the American Revolutionary War.  Engraved by Wm. Darton of Tottenham.  Blank verso.

Original outline color on watermarked paper with faint offsetting.  Remargined at bottom to better accommodate framing.


Ref:
 Shirley (BL Atlases) T.GUTH-6a #21; McCorkle (Geography Books) #183-21






";"Lot #101: ""A Map of the United States of America Agreeable to the Peace of 1783"" William Guthrie
"
101;163 -  6/14/2017;6/14/2017;163; Thomas Conder; uncolored; B   ; 1793      ;;1793;$550.00 - $650.00;650.00;550.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-102A.jpg;102; A Topographical Description of the Western Territory of North America; 13.1 x 13.9 inches 33.3 x 35.3 cm ;33.3x35.3;35.3;33.3;13.1x13.9;-10000; Eastern United States;"

Extremely scarce and very interesting map covering the region from the Great Lakes through Georgia and from the Mid-Atlantic past the Mississippi River.  The map shows early roads, settlements, forts, Indian villages with particular emphasis on the western frontiers in Kentucky and Ohio.  The battle sites and raids against the 
United Tribes in 1791
 are depicted.  Gilbert Imlay, an army officer during the Revolutionary War, emigrated to Kentucky where he worked as a deputy surveyor under George May, at Louisville.  Subsequently he went to Europe where he wrote of his experiences on the then-frontier.  His book, published by J. Debrett, was illustrated with this and three other great early maps, all of which are scarce.

Issued folding with light soiling, a number of extraneous creases, and professional repairs to some small separations and tiny tears along the folds.  There is a binding trim at bottom right and an adjacent 4.5"" binding tear that has been professionally repaired.






";"Lot #102: ""A Map of the Western Part of the Territories Belonging to the United States of America. Drawn from the Best Authorities"" Thomas Conder
"
102;163 -  6/14/2017;6/14/2017;163; Jean Baptiste Poirson; uncolored; B   ; 1799      ;;1799;$800.00 - $1,000.00;1000.00;800.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-103A.jpg;103; Voyage dans les Parties Sud de l'Amerique Septentrionale... ; 17.4 x 24.3 inches 44.2 x 61.8 cm ;44.2x61.8;61.8;44.2;17.4x24.3;-10000; Eastern United States;"

This map is from a French edition of William Bartram's famous narrative 
Travels through North and South Carolina, Georgia, East and West Florida...
, which was first published in 1791.  The volume recounts his odyssey (1773-78) exploring the American Southeast and the plants and wildlife he encountered.  He also describes his contacts with various Indian tribes including the Creek, Cherokee and Choctaw.  The French editions are the only ones to contain the large map of the United States, and it depicts the region from the Mississippi River to the eastern seaboard.  Cartographically, the topography and river systems are particularly well developed with settlement primarily confined to east of the Allegheny Mountains.  Scores of Indian villages are located in the southwestern frontier (present-day Alabama and Mississippi) and Florida, and the entire Northwest Territory is called 
Nouvel Etat de Kentukey
.  Includes seven distance scales.

Issued folding on watermarked paper with light scattered foxing and one short fold separation along the left border that has been closed on verso with archival material.  There is a narrow left margin.


Ref:
 Howes #B223; Sabin #3871; Streeter Sale #1088.






";"Lot #103: ""Carte des Carolines Meridionale et Septentrionale, la Georgie, la Floride, Orientale et Occidentale, le Pays des Cherokees, la Vaste Contree des Muscogulges, ou la Confederation des Creks et Pays des Chataws"" Jean Baptiste Poirson
"
103;163 -  6/14/2017;6/14/2017;163; Franz Ludwig Gussefeld; hand color; B+  ; 1800      ;;1800;$1,200.00 - $1,500.00;1500.00;1200.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-104A.jpg;104; ; 20.6 x 18.4 inches 52.4 x 46.8 cm ;52.4x46.8;46.8;52.4;20.6x18.4; 900.00; Eastern United States;"

One of the most interesting and scarce features on early maps of the United States is the appearance of the proposed 
State of Franklin
.  In 1784 settlers in the frontier west of the Appalachian Mountains organized a state government with the state to be named in honor of Benjamin Franklin.  Congress turned down their appeal but the state maintained a legislature and governor until 1788.  This ephemeral state appeared on a small number of maps into the early part of the 19th century.  On this map, and other continental European maps, Franklin is misplaced in the region that is now West Virginia and eastern Kentucky, instead of eastern Tennessee.  Elsewhere on this interesting map, the region north of the Ohio River is labeled Indiana and includes locations of Indian villages and a few early settlements and forts.  Maine extends well into New Brunswick.  This is the first state of the map.  See our June 2015 newsletter article on the State of Franklin 
here
.


See also lots 64, 105, 108, 116, and 163 for other maps that depict the state of Franklin.

Issued on bluish paper with light scattered foxing and a few minor edge tears closed on verso with archival tape.  There are remnants of linen tape on verso.


Ref:
 Baynton-Williams (TMC-72) #12; Dotson & Baker (OWA) #15.1.






";"Lot #104: ""Charte der XV Vereinigten Staaten von Nord-America Nach Murdochischer Projection..."" Franz Ludwig Gussefeld
"
104;163 -  6/14/2017;6/14/2017;163; Francois A. Michaux; uncolored; B   ; 1805      ;;1805;$600.00 - $750.00;750.00;600.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-105A.jpg;105; ; 13 x 16 inches 33.1 x 40.7 cm ;33.1x40.7;40.7;33.1;13x16; 475.00; Eastern United States, Franklinia;"

This fascinating map of the Eastern United States and Canada features the short-lived state of 
Franklinia
 in eastern Tennessee (here labeled 
Tennassee
).  In 1785, settlers in present-day western North Carolina and eastern Tennessee organized a state government to be named in honor of Benjamin Franklin.  Congress turned down their appeal but the state maintained a legislature and governor until 1788.  The map also depicts 
Morgania
 in present-day Missouri.  It was named after George Morgan, a land speculator, who attempted to create a new colony in the then Spanish controlled Louisiana Territory near New Madrid (Morgan gave up this endeavor a few years later).  Ohio is not yet named, but the Ohio Company land grant still appears north of the Ohio River.  Florida is divided between East and West.  West of the Appalachians, detail is mostly limited to forts and the locations of numerous Indian tribes. 


The map was issued in the English edition of Francois Andre Michaux's 
Travels to the Westward of the Allegany Mountains...
 and published by Richard Phillips in London.  96 pages.  Octavo, rebound in stiff marbled boards.


See also lots 64, 104, 108, 116, and 163 for other maps that depict the state of Franklin.

The map has a 4.5"" binding tear at right that has been repaired on verso with archival material along with light scattered foxing.  The title page has a bit of toning, but the text is otherwise clean and bright.  There is light external wear and minor surface soiling.


Ref:
 Dotson & Baker (OWA) #14b; Sabin #48706.






";"Lot #105: ""[Untitled Map of the Eastern United States] [in] Travels to the Westward of the Allegany Mountains, in the States of the Ohio, Kentucky, and Tennessee, in the Year 1802..."" Francois A. Michaux
"
105;163 -  6/14/2017;6/14/2017;163; Antoine Francois Tardieu; hand color; A   ; 1806      ;;1806;$275.00 - $350.00;350.00;275.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-106A.jpg;106; ; 18.8 x 15 inches 47.8 x 38.1 cm ;47.8x38.1;38.1;47.8;18.8x15;-10000; Eastern United States;"

This finely engraved map shows the United States extending to the Mississippi River.  It extends westward beyond the Mississippi River to show a portion of Louisiana Territory with numerous Indian tribes located on the frontier.  The western boundary for Georgia is at the Mississippi River and the oversized Florida is composed of East and West Florida.  There is significant detail with a surprising number of towns and settlements located.  Published by Chanlaire & Mentelle.

A dark impression on a clean sheet of watermarked paper.






";"Lot #106: ""Carte Generale des Etats-Unis"" Antoine Francois Tardieu
"
106;163 -  6/14/2017;6/14/2017;163; ; uncolored; B   ; 1810      ;;1810;$2,200.00 - $2,500.00;2500.00;2200.00;http://www.oldworldauctions.com/archives/detail/lot_images/thumbs/163-107A.jpg;107; ; 5.3 x 8.5 inches 13.5 x 21.6 cm ;13.5x21.6;21.6;13.5;5.3x8.5; 1600.00; Eastern United States;"

This two volume travel guide was written by Christian Schultz.  It describes Schultz's inland journey from New York state to New Orleans via the Ohio and Mississippi rivers, and is notable for giving an accurate and detailed account of this frontier region.  Schultz's book is a compilation of his letters, and was published in direct response to an earlier travel guide written by Englishman Thomas Ashe in 1806.  Ashe had traveled on both of these rivers and wrote mostly negative reports, arousing much bitterness among Americans toward British visitors.  The two volumes are illustrated by 2 plates and 5 folding maps (see images) including: 


Map of the United States Including Louisiana
 (18.6 x 16.4"").  The map extends beyond the Mississippi River to past the 100th meridian.  Depicts a large Mississippi Territory occupying present-day Alabama and Mississippi, and a large Indiana Territory comprised of Wisconsin and eastern Minnesota.  Florida is divided between East & West.  The map locates numerous forts and mines along the Ohio and Mississippi rivers.  Condition: There is a 7.5"" binding tear at right that has been closed on verso with paper tape. 


Map of the Mississippi River Containing the Route from the Mouth of the Ohio to New-Orleans
 (13.0 x 9.7"").  Two separate maps on one sheet.  Condition: The bottom right quarter of the map has torn away and has been restated in facsimile. (C+) 


A Map of the Hudson and Mohawk Rivers...
 (13.2 x 7.5""). 


A Plan of the Ruins of the Ancient Fortifications at Marietta
 (7.6 x 7.7""). 


Map of the Ohio River and Part of the Mississippi Containing the Route from Pittsburgh to St. Louis and the Mines
 (16.0 x 8.75""). 


Howes describes the account as the ""best description of this region at the period.""  Volume one (207 page) has 4 folding maps and 2 plates.  Volume two (224 pages) has 1 folding map.  Octavo, hardbound in original quarter calf over marbled boards.

The maps range from fair to very good with light to moderate foxing, light offsetting and mild toning.  See description above for additional details on the maps.  Text is generally clean and bright with an occasional spot of foxing.  The hinges are starting, the spines have minor cracking, and the covers have light wear and soiling.


Ref:
 Howes #S202; Sabin #78003.






";"Lot #107: ""[2 Volumes] Travels on an Inland Voyage Through the States of New-York, Pennsylvania, Virginia, Ohio, Kentucky and Tennessee..."" 
"
